Course ID,Course,Subject,Course No,Min Credits,Course Levels,Current Status,Short Title,Long Title,Schools,Division,Department,Acad Lvl,Yearly Cycle,Session Cycle,Reg Restrictions,Course Types,Natl ID,Terms Offered,Last Term Offered,Start Date,End Date,Description
3853,ACCT-0011,ACCT,11,1,"1, 2",A,Accounting Lower Division,Accounting Lower Division,PROF,BUSI,BUSI,UG,,,LEVEL,EQIV,,,,1/1/2001,,
4582,ACCT-0012,ACCT,12,2,"1, 2",A,Accounting Lower Division,Accounting Lower Division,PROF,BUSI,BUSI,UG,,,LEVEL,EQIV,,,,1/1/2001,,
3153,ACCT-0013,ACCT,13,3,"1, 2",A,Accounting Lower Division,Accounting Lower Division,PROF,BUSI,BUSI,UG,,,LEVEL,EQIV,52.0301,,,1/1/1950,,
3416,ACCT-0014,ACCT,14,4,"1, 2",A,Accounting Lower Division,Accounting Lower Division,PROF,BUSI,BUSI,UG,A,A,LEVEL,EQIV,,,,1/1/2001,,
3154,ACCT-0023,ACCT,23,3,"3, 4",A,Accounting Upper Division,Accounting Upper Division,PROF,BUSI,BUSI,UG,,,LEVEL,EQIV,,,,1/1/1950,,
4920,ACCT-0052,ACCT,52,2,5,A,Accounting-Graduate Level,Accounting-Graduate Level,PROF,BUSI,BUSI,GR,,,LEVEL,EQIV,,,,1/1/2001,,
5680,ACCT-0053,ACCT,53,3,5,A,Business-Graduate Level,Business-Graduate Level,PROF,BUSI,BUSI,GR,A,A,LEVEL,EQIV,,,,1/1/1950,,
8,ACCT-2113,ACCT,2113,3,2,A,Accounting Principles I,Accounting Principles I,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SP, 2021FA, 2021SP, 2020FA, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SP, 2015FA, 2015SP, 2014FA, 2014SU, 2014SP, 2013FA, 2013SU, 2013SP, 2012FA, 2012SU, 2012SP, 2011FA, 2011SU, 2011SP, 2010FA, 2010SU, 2010SP, 2009FA, 2008FA, 2008SP, 2007FA, 2007SU, 2007SP, 2006FA, 2006SU1, 2006SP, 2005FA, 2005SP, 2004FA, 2004SP, 2003FA, 2003SP, 2002FA, 2002SP, 2001FA, 2001SP, 2000FA, 2000SP, 1999FA, 1999SU1, 1999SP",2023SP,1/1/1950,,"Purpose of accounting, recording transactions, , preparing financial statements, the use of , special journals and general and subsidiary , ledgers, introduction of accounting principles, , accounting for a merchandising firm, and payroll , accounting. This course is normally offered every , semester."
11,ACCT-2213,ACCT,2213,3,2,A,Accounting Principles II,Accounting Principles II,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SU, 2022SP, 2021FA, 2021SU, 2021SP, 2020FA, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SP, 2015FA, 2015SP, 2014FA, 2014SU, 2014SP, 2013FA, 2013SU, 2013SP, 2012FA, 2012SU, 2012SP, 2011FA, 2011SU, 2011SP, 2010FA, 2010SU, 2010SP, 2009FA, 2009SU, 2009SP, 2008FA, 2008SU2, 2008SP, 2007FA, 2007SP, 2006FA, 2006SU2, 2006SP, 2005FA, 2005SP, 2004FA, 2004SP, 2003FA, 2003SP, 2002FA, 2002SP, 2001FA, 2001SP, 2000FA, 2000SP, 1999FA, 1999SU2, 1999SP",2023SP,1/1/1950,,"Prerequisite: ACCT-2113. Continuation of , Accounting Principles I. Partnership accounting, , corporation accounting, additional accounting , principles, analyzing and interpreting financial , statements, development of management , decision-making accounting data, introduction to , cost accounting, and cost-volume-profit analysis. , This course is normally offered every semester."
13,ACCT-3113,ACCT,3113,3,3,A,Intermediate Accounting I,Intermediate Accounting I,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2022FA, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA, 2013FA, 2012FA, 2011FA, 2010FA, 2009FA, 2008FA, 2007FA, 2006FA, 2005FA, 2004FA, 2003FA, 2002FA, 2001FA, 2000FA, 1999FA",2022FA,1/1/1950,,"Prerequisite: ACCT-2213. Study of accounting , theory and assumptions underlying Generally , Accepted Accounting Principles related to , financial statements, generally, and current , assets, specifically. Special consideration is , given to pronouncements of the Financial , Accounting Standards Board, the American , Institute of Certified Public Accountants, the , American Accounting Association and the , Securities and Exchange Commission. This course , is normally offered fall semester."
15,ACCT-3213,ACCT,3213,3,3,A,Intermediate Accounting II,Intermediate Accounting II,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022SP, 2021SP, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011FA, 2011SP, 2010FA, 2010SP, 2009SP, 2008SP, 2007SP, 2006SP, 2005SP, 2004SP, 2003SP, 2002SP, 2001SP, 2000SP, 1999SP",2023SP,1/1/1950,,"Prerequisite: ACCT-3113. Continuation of , Intermediate Accounting I. Study of Generally , Accepted Accounting Principles related to plant , assets, liabilities and capital, financial , statement analysis, price level accounting, and , leasing transactions. This course is normally , offered spring semester."
16,ACCT-3313,ACCT,3313,3,3,A,Cost Accounting,Cost Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SP, 2021FA, 2021SP, 2020FA, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SP, 2015FA, 2015SP, 2014FA, 2014SP, 2013FA, 2013SP, 2012FA, 2012SP, 2011FA, 2011SP, 2010FA, 2010SP, 2009FA, 2009SP, 2008SP, 2007FA, 2007SP, 2006FA, 2006SP, 2005SP, 2004SP, 2003SP, 2002SP, 2001SP, 2000SP, 1999SP",2023SP,1/1/1950,,"Prerequisite: ACCT-2213. The development of cost , and accounting data for internal use in planning, , control, and decision making by managers. Topics , and techniques studied are job-order and process , cost accounting; accounting for materials, labor, , and factory overhead costs; standard cost , accounting; payroll; budgeting; responsibility , accounting; cost-volume-profit analysis, and , direct costing. This course is offered every , semester."
