"Term","Synonym","UG/GR","Section Number","Subject","Course #","Section #","Crs Level","Course Type","Reg Restrictions","Bldg","Room","Section Title","Faculty Name (LFM)","Faculty Name 2 (LFM)","Sec Start Date","Meeting Start Date","Sec End Date","Meeting End Date","Start Time","End Time","Days","Sec Num Of Weeks ","Min Cred","Max Cred","Capacity","Enr Count","Wait","Depts","Divisions","College","Faculty Last Name","Faculty First Name","Instr Method","Sun","Mon","Tue","Wed","Thu","Fri","Sat","SEC.XLIST","SEC.FEE","Primary Section ","SEC.COMMENTS","SEC.PRINTED.COMMENTS","Academic Year","Term Sort No","Only Pass/NoPass","Allow Pass/NoPass","Bldg","Room","Start Date","End Date","Start Time","Start Time 24hr","End Time","End Time 24hr"
"2023SP","1473","UG","HONR-4100-91","HONR","4100","91","4","OK11A","LEVEL","","","Honors Enrichment Viii","","","2023-01-08","","2023-04-27","","","","","16","0.00","0.00","0","0","","INTD","LLC","HBIBL (College of Humanities and Bible)","","","LEC","","","","","","","","","0.00","HONR-4100-91","","","2022","3","N","N","","","","","","","",""
"2023SP","9291","UG","NURS-4024C-06","NURS","4024C","06","4","CLINC","SRLVL, LEVEL, SECOKENR","TBA","TBA*TBA","Leadership & Management Clinic","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27","","","","16","0.00","0.00","0","0","","NURS","NHSCI","PROF (College Professional Studies)","","","CLIN","","","","","","","","","0.00","NURS-4024C-06","","","2022","3","N","N","TBA","TBA","2023-01-08","2023-04-27","","","",""
"2023SP","3187","UG","MUSC-1561-03","MUSC","1561","03","1","PML","LEVEL, SECOKENR","GC","GC*158","String Bass","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27","","","","16","1.00","0.00","0","0","","MUSIC","FPART","HBIBL (College of Humanities and Bible)","","","LEC","","","","","","","","","0.00","MUSC-1561-03","","","2022","3","N","N","GC","158","2023-01-08","2023-04-27","","","",""
"2023SP","1357","GR","EDUC-5043-120","EDUC","5043","120","5","INT, NP, BB","LEVEL","","*","Foundations of Learning Recove","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27","","","","16","3.00","0.00","0","0","","EDUC","EBASS","HBIBL (College of Humanities and Bible)","","","WEB","","","","","","","","","0.00","EDUC-5043-120","","","2022","3","N","N","","","2023-01-08","2023-04-27","","","",""
"2023SP","1359","GR","EDUC-5063-120","EDUC","5063","120","5","INT, BB, NP","LEVEL","","*","Foundations of Addressing Stud","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27","","","","16","3.00","0.00","0","0","","EDUC","EBASS","HBIBL (College of Humanities and Bible)","","","WEB","","","","","","","","","0.00","EDUC-5063-120","","","2022","3","N","N","","","2023-01-08","2023-04-27","","","",""
"2023SP","3675","UG","ELEM-4433-01","ELEM","4433","01","3","STND","LEVEL, SECOKENR","DAH","DAH*211","Intermediate Reading","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27"," 3:40 PM"," 6:10 PM","M","16","3.00","0.00","0","0","","EDUC","EBASS","HBIBL (College of Humanities and Bible)","","","LEC","","Y","","","","","","","0.00","ELEM-4433-01","","","2022","3","N","N","DAH","211","2023-01-08","2023-04-27"," 3:40 PM","15:40:00"," 6:10 PM","18:10:00"
"2023SP","1486","UG","BIBL-4533-02","BIBL","4533","02","4","STND, GENED, COREU","LEVEL","WBC","WBC*128","Senior Capstone","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27"," 9:00 AM"," 9:50 AM","MWF","16","3.00","0.00","25","0","","BIBLE","","","","","LEC","","Y","","Y","","Y","","","0.00","BIBL-4533-02","","","2022","3","N","Y","WBC","128","2023-01-08","2023-04-27"," 9:00 AM","09:00:00"," 9:50 AM","09:50:00"
"2023SP","1488","UG","BIBL-4533-03","BIBL","4533","03","4","STND, GENED, COREU","LEVEL","WBC","WBC*127","Senior Capstone","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27"," 2:40 PM"," 3:55 PM","TTH","16","3.00","0.00","25","0","","BIBLE","BIBLE","HBIBL (College of Humanities and Bible)","","","LEC","","","Y","","Y","","","","0.00","BIBL-4533-03","","","2022","3","N","Y","WBC","127","2023-01-08","2023-04-27"," 2:40 PM","14:40:00"," 3:55 PM","15:55:00"
"2023SP","1501","UG","BIBL-1103-07","BIBL","1103","07","1","STND, GENED","FRESH, LEVEL","WBC","WBC*127","Story: Intro to Christian Worl","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27"," 12:40 PM"," 1:55 PM","TTH","16","3.00","0.00","40","0","","BIBLE","BIBLE","HBIBL (College of Humanities and Bible)","","","LEC","","","Y","","Y","","","","0.00","BIBL-1103-07","","","2022","3","N","N","WBC","127","2023-01-08","2023-04-27"," 12:40 PM","12:40:00"," 1:55 PM","13:55:00"
"2023SP","1523","UG","GMIN-4763-01","GMIN","4763","01","4","STND","LEVEL","WBC","WBC*123","Homiletics II: Adv Homiletics","","","2023-01-08","2023-01-08","2023-04-27","2023-04-27"," 2:40 PM"," 3:55 PM","TTH","16","3.00","0.00","23","0","","BIBLE","BIBLE","HBIBL (College of Humanities and Bible)","","","LEC","","","Y","","Y","","","","0.00","GMIN-4763-01","","","2022","3","N","Y","WBC","123","2023-01-08","2023-04-27"," 2:40 PM","14:40:00"," 3:55 PM","15:55:00"
